"Index", "Count", "Origin Account", "Destination Account", "Date", "Original Amount", "Origin Currency", "Converted Amount", "Destination Currency"
"24", "24", "00004-004-DW-99996", "00551-551-EV-99449", "9/12/11", "161813.43", "EUR", "663920.50", "USD"
"25", "25", "00004-004-DW-99996", "00551-551-EV-99449", "9/24/11", "176034.42", "EUR", "731423.02", "USD"
"26", "26", "00004-004-DW-99996", "00551-551-EV-99449", "11/5/11", "165428.23", "EUR", "725684.02", "USD"
"27", "27", "00004-004-DW-99996", "00551-551-EV-99449", "11/27/11", "210973.72", "EUR", "917102.76", "USD"
"28", "28", "00004-004-DW-99996", "00551-551-EV-99449", "12/23/11", "30677.62", "EUR", "137132.03", "USD"
"29", "29", "00004-004-DW-99996", "00551-551-EV-99449", "1/1/12", "149242.55", "EUR", "672248.14", "USD"
"30", "30", "00004-004-DW-99996", "00551-551-EV-99449", "2/17/12", "19987.50", "EUR", "86939.63", "USD"
"31", "31", "00004-004-DW-99996", "00551-551-EV-99449", "4/7/12", "29633.92", "EUR", "121946.54", "USD"
"32", "32", "00004-004-DW-99996", "00551-551-EV-99449", "4/27/12", "14924.25", "EUR", "61795.35", "USD"
"33", "33", "00004-004-DW-99996", "00551-551-EV-99449", "5/20/12", "9232.83", "EUR", "38560.91", "USD"
"34", "34", "00004-004-DW-99996", "00551-551-EV-99449", "5/25/12", "27043.92", "EUR", "112973.27", "USD"
"35", "35", "00004-004-DW-99996", "00551-551-EV-99449", "7/14/12", "14405.10", "EUR", "61773.39", "USD"
"36", "36", "00001-001-AZ-99999", "00551-551-EV-99449", "9/24/10", "120000.00", "EUR", "477624.00", "USD"
"37", "37", "00001-001-AZ-99999", "00551-551-EV-99449", "7/27/12", "67416.59", "EUR", "286412.64", "USD"
"38", "38", "00001-001-AZ-99999", "00551-551-EV-99449", "11/23/12", "68128.08", "EUR", "281191.84", "USD"
"39", "39", "00003-003-CX-99997", "00551-551-EV-99449", "6/3/11", "255964.56", "EUR", "1006657.42", "USD"
"40", "40", "00001-001-AZ-99999", "00551-551-EV-99449", "12/18/11", "420.00", "EUR", "1851.65", "USD"
"41", "41", "00001-001-AZ-99999", "00551-551-EV-99449", "4/21/12", "1104.42", "EUR", "4559.38", "USD"
"42", "42", "00001-001-AZ-99999", "00551-551-EV-99449", "5/6/12", "4122.51", "EUR", "17068.02", "USD"
"43", "43", "00001-001-AZ-99999", "00551-551-EV-99449", "11/27/11", "2024.17", "EUR", "8799.07", "USD"
"44", "44", "00001-001-AZ-99999", "00551-551-EV-99449", "1/7/12", "5035.74", "EUR", "22548.03", "USD"
"45", "45", "00001-001-AZ-99999", "00551-551-EV-99449", "1/21/12", "5578.81", "EUR", "24844.11", "USD"
"46", "46", "00001-001-AZ-99999", "00551-551-EV-99449", "2/25/12", "2024.17", "EUR", "8621.75", "USD"
"47", "47", "00001-001-AZ-99999", "00551-551-EV-99449", "4/13/12", "8096.68", "EUR", "33268.45", "USD"
"48", "48", "00001-001-AZ-99999", "00551-551-EV-99449", "5/5/12", "1579.84", "EUR", "6540.85", "USD"
"49", "49", "00001-001-AZ-99999", "00551-551-EV-99449", "5/19/12", "34361.52", "EUR", "143510.89", "USD"
"50", "50", "00001-001-AZ-99999", "00551-551-EV-99449", "7/7/12", "34312.15", "EUR", "148777.48", "USD"
"51", "51", "00001-001-AZ-99999", "00551-551-EV-99449", "7/21/12", "69463.59", "EUR", "295248.04", "USD"
"52", "52", "00001-001-AZ-99999", "00551-551-EV-99449", "7/27/12", "38113.64", "EUR", "161921.99", "USD"
"53", "53", "00001-001-AZ-99999", "00551-551-EV-99449", "8/25/12", "22216.50", "EUR", "92576.16", "USD"
"54", "54", "00001-001-AZ-99999", "00551-551-EV-99449", "9/23/12", "1184.88", "EUR", "4829.69", "USD"
"55", "55", "00001-001-AZ-99999", "00551-551-EV-99449", "10/27/12", "15502.18", "EUR", "64065.86", "USD"
"56", "56", "00001-001-AZ-99999", "00551-551-EV-99449", "10/27/12", "10219.59", "EUR", "42234.50", "USD"
"57", "57", "00001-001-AZ-99999", "00551-551-EV-99449", "3/4/11", "9281.56", "EUR", "36254.70", "USD"
"58", "58", "00001-001-AZ-99999", "00551-551-EV-99449", "3/11/11", "10244.28", "EUR", "39865.62", "USD"
"59", "59", "00001-001-AZ-99999", "00551-551-EV-99449", "4/8/11", "12233.80", "EUR", "48688.08", "USD"
"60", "60", "00001-001-AZ-99999", "00551-551-EV-99449", "5/21/11", "1727.95", "EUR", "6828.17", "USD"
"61", "61", "00001-001-AZ-99999", "00551-551-EV-99449", "6/3/11", "11355.10", "EUR", "44657.34", "USD"
"62", "62", "00001-001-AZ-99999", "00551-551-EV-99449", "6/17/11", "11547.90", "EUR", "45240.05", "USD"
"63", "63", "00001-001-AZ-99999", "00551-551-EV-99449", "7/8/11", "9278.00", "EUR", "36551.61", "USD"
"64", "64", "00001-001-AZ-99999", "00551-551-EV-99449", "8/7/11", "6714.32", "EUR", "26424.88", "USD"
"65", "65", "00001-001-AZ-99999", "00551-551-EV-99449", "9/4/11", "7158.65", "EUR", "28706.19", "USD"
"66", "66", "00001-001-AZ-99999", "00551-551-EV-99449", "10/9/11", "4196.45", "EUR", "17736.30", "USD"
"67", "67", "00001-001-AZ-99999", "00551-551-EV-99449", "11/4/11", "4986.37", "EUR", "21873.71", "USD"
"68", "68", "00001-001-AZ-99999", "00551-551-EV-99449", "8/29/11", "440.00", "EUR", "1756.66", "USD"
"69", "69", "00001-001-AZ-99999", "00551-551-EV-99449", "3/13/12", "5051.00", "EUR", "21096.51", "USD"
"70", "70", "00001-001-AZ-99999", "00551-551-EV-99449", "3/23/12", "1082.00", "EUR", "4508.69", "USD"
"71", "71", "00001-001-AZ-99999", "00551-551-EV-99449", "9/2/12", "3969.00", "EUR", "16287.59", "USD"
"72", "72", "00005-005-EV-99995", "00534-534-NM-99466", "12/27/10", "1410.44", "USD", "4172.65", "USD"
"73", "73", "00006-006-FU-99994", "00534-534-NM-99466", "3/7/11", "1722.94", "USD", "4919.34", "USD"
"74", "73", "00006-006-FU-99994", "00534-534-NM-99466", "3/7/11", "1722.94", "USD", "4919.34", "USD"
"75", "74", "00001-001-AZ-99999", "00551-551-EV-99449", "11/7/11", "497.80", "EUR", "2183.70", "USD"
"76", "75", "00001-001-AZ-99999", "00551-551-EV-99449", "11/8/11", "497.80", "EUR", "2183.70", "USD"
"77", "76", "00001-001-AZ-99999", "00551-551-EV-99449", "11/11/11", "497.79", "EUR", "2146.12", "USD"
"78", "77", "00001-001-AZ-99999", "00551-551-EV-99449", "11/7/11", "1000.00", "EUR", "4386.70", "USD"
"79", "78", "00001-001-AZ-99999", "00551-551-EV-99449", "11/22/11", "4320.00", "EUR", "18768.67", "USD"
"80", "79", "00001-001-AZ-99999", "00551-551-EV-99449", "12/25/11", "7751.25", "EUR", "34648.86", "USD"
"81", "80", "00001-001-AZ-99999", "00551-551-EV-99449", "1/27/12", "9033.75", "EUR", "39910.20", "USD"
"82", "81", "00001-001-AZ-99999", "00551-551-EV-99449", "2/25/12", "7440.00", "EUR", "31689.94", "USD"
"83", "82", "00001-001-AZ-99999", "00551-551-EV-99449", "3/25/12", "8550.00", "EUR", "35627.85", "USD"
"84", "83", "00001-001-AZ-99999", "00551-551-EV-99449", "4/24/12", "8550.00", "EUR", "35296.97", "USD"
"85", "84", "00001-001-AZ-99999", "00551-551-EV-99449", "6/1/12", "2595.00", "EUR", "10807.40", "USD"
"86", "85", "00001-001-AZ-99999", "00551-551-EV-99449", "9/24/11", "1575.00", "EUR", "6544.13", "USD"
"87", "86", "00004-004-DW-99996", "00551-551-EV-99449", "5/29/11", "45391.96", "EUR", "178444.87", "USD"
"88", "87", "00004-004-DW-99996", "00551-551-EV-99449", "10/28/11", "11398.80", "EUR", "50163.84", "USD"
"89", "88", "00001-001-AZ-99999", "00551-551-EV-99449", "1/6/12", "14504.54", "EUR", "64945.53", "USD"
"90", "89", "00007-007-GT-99993", "00200-200-RI-99800", "3/24/09", "3660.00", "CAD", "3660.00", "USD"
"91", "90", "00008-008-HS-99992", "00511-511-QJ-99489", "4/10/10", "10237.73", "CAD", "10237.73", "USD"
"92", "91", "00008-008-HS-99992", "00511-511-QJ-99489", "4/10/10", "10237.73", "CAD", "10237.73", "USD"
"93", "92", "00008-008-HS-99992", "00511-511-QJ-99489", "6/11/10", "5079.84", "CAD", "5079.84", "USD"
"94", "93", "00008-008-HS-99992", "00511-511-QJ-99489", "6/11/10", "5079.84", "CAD", "5079.84", "USD"
"95", "94", "00008-008-HS-99992", "00511-511-QJ-99489", "3/14/11", "1827.20", "CAD", "1827.20", "USD"
"96", "95", "00008-008-HS-99992", "00511-511-QJ-99489", "3/14/11", "1827.20", "CAD", "1827.20", "USD"
"97", "96", "00008-008-HS-99992", "00511-511-QJ-99489", "6/19/11", "7992.03", "CAD", "7992.03", "USD"
"98", "97", "00008-008-HS-99992", "00511-511-QJ-99489", "7/23/11", "876.89", "CAD", "876.89", "USD"
"99", "98", "00008-008-HS-99992", "00511-511-QJ-99489", "12/2/11", "8304.31", "CAD", "8304.31", "USD"
"100", "102", "00009-009-IR-99991", "00200-200-RI-99800", "2/21/09", "8607.97", "CAD", "8607.97", "USD"
"101", "103", "00009-009-IR-99991", "00526-526-FU-99474", "2/22/10", "1444.00", "USD", "4107.46", "USD"
"102", "104", "00009-009-IR-99991", "00526-526-FU-99474", "5/4/10", "1062.00", "USD", "3044.86", "USD"
"103", "105", "00009-009-IR-99991", "00526-526-FU-99474", "8/10/10", "822.00", "USD", "2666.98", "USD"
"104", "106", "00010-010-JQ-99990", "00200-200-RI-99800", "2/15/09", "2318798.48", "CAD", "2318798.48", "USD"
"105", "107", "00010-010-JQ-99990", "00200-200-RI-99800", "2/24/09", "1476776.89", "CAD", "1476776.89", "USD"
"106", "108", "00010-010-JQ-99990", "00200-200-RI-99800", "6/5/09", "4181062.73", "CAD", "4181062.73", "USD"
"107", "109", "00010-010-JQ-99990", "00200-200-RI-99800", "6/6/09", "1114698.14", "CAD", "1114698.14", "USD"
"108", "110", "00010-010-JQ-99990", "00200-200-RI-99800", "9/22/09", "1880270.10", "CAD", "1880270.10", "USD"
"109", "111", "00010-010-JQ-99990", "00200-200-RI-99800", "10/5/09", "223589.33", "CAD", "223589.33", "USD"
"110", "112", "00010-010-JQ-99990", "00200-200-RI-99800", "11/22/09", "559114.48", "CAD", "559114.48", "USD"
"111", "116", "00010-010-JQ-99990", "00200-200-RI-99800", "2/5/10", "387586.39", "CAD", "387586.39", "USD"
"112", "117", "00010-010-JQ-99990", "00200-200-RI-99800", "2/23/10", "1480870.84", "CAD", "1480870.84", "USD"
"113", "118", "00010-010-JQ-99990", "00200-200-RI-99800", "3/5/10", "806561.81", "CAD", "806561.81", "USD"
"114", "119", "00011-011-KP-99989", "00200-200-RI-99800", "3/9/09", "9758.57", "CAD", "9758.57", "USD"
"115", "120", "00011-011-KP-99989", "00200-200-RI-99800", "3/20/09", "18300.00", "CAD", "18300.00", "USD"
"116", "121", "00011-011-KP-99989", "00200-200-RI-99800", "1/18/10", "66266.74", "CAD", "66266.74", "USD"
"117", "123", "00011-011-KP-99989", "00200-200-RI-99800", "2/12/10", "13338.03", "CAD", "13338.03", "USD"
"118", "124", "00012-012-LO-99988", "00200-200-RI-99800", "3/3/09", "47312.53", "CAD", "47312.53", "USD"
"119", "125", "00013-013-MN-99987", "00200-200-RI-99800", "3/13/09", "2318.00", "CAD", "2318.00", "USD"
"120", "126", "00013-013-MN-99987", "00200-200-RI-99800", "3/23/09", "2196.00", "CAD", "2196.00", "USD"
"121", "127", "00013-013-MN-99987", "00200-200-RI-99800", "5/10/09", "13420.00", "CAD", "13420.00", "USD"
"122", "128", "00013-013-MN-99987", "00200-200-RI-99800", "5/18/09", "976.00", "CAD", "976.00", "USD"
"123", "129", "00013-013-MN-99987", "00200-200-RI-99800", "9/28/09", "444.08", "CAD", "444.08", "USD"
"124", "131", "00013-013-MN-99987", "00200-200-RI-99800", "2/12/10", "106262.00", "CAD", "106262.00", "USD"
"125", "133", "00013-013-MN-99987", "00200-200-RI-99800", "2/26/10", "2133.78", "CAD", "2133.78", "USD"
"126", "135", "00013-013-MN-99987", "00200-200-RI-99800", "5/14/10", "80805.48", "CAD", "80805.48", "USD"
"127", "137", "00013-013-MN-99987", "00200-200-RI-99800", "5/24/10", "5587.60", "CAD", "5587.60", "USD"
"128", "139", "00013-013-MN-99987", "00200-200-RI-99800", "6/7/10", "8540.00", "CAD", "8540.00", "USD"
"129", "141", "00013-013-MN-99987", "00200-200-RI-99800", "7/5/10", "25620.00", "CAD", "25620.00", "USD"
"130", "143", "00013-013-MN-99987", "00200-200-RI-99800", "7/9/10", "6360.96", "CAD", "6360.96", "USD"
"131", "145", "00013-013-MN-99987", "00200-200-RI-99800", "7/19/10", "610.00", "CAD", "610.00", "USD"
"132", "147", "00013-013-MN-99987", "00200-200-RI-99800", "8/23/10", "4195.58", "CAD", "4195.58", "USD"
"133", "148", "00014-014-NM-99986", "00200-200-RI-99800", "11/15/09", "23746.34", "CAD", "23746.34", "USD"
"134", "149", "00015-015-OL-99985", "00511-511-QJ-99489", "1/27/09", "15782.29", "CAD", "15782.29", "USD"
"135", "150", "00015-015-OL-99985", "00511-511-QJ-99489", "2/23/09", "50190.56", "CAD", "50190.56", "USD"
"136", "151", "00015-015-OL-99985", "00511-511-QJ-99489", "11/1/09", "2456.64", "CAD", "2456.64", "USD"
"137", "152", "00016-016-PK-99984", "00200-200-RI-99800", "11/10/09", "2100.00", "CAD", "2100.00", "USD"
"138", "154", "00017-017-QJ-99983", "00200-200-RI-99800", "6/6/10", "22655.40", "CAD", "22655.40", "USD"
"139", "155", "00018-018-RI-99982", "00200-200-RI-99800", "10/24/08", "4880.00", "CAD", "4880.00", "USD"
"140", "156", "00018-018-RI-99982", "00200-200-RI-99800", "1/18/09", "21960.00", "CAD", "21960.00", "USD"
"141", "157", "00018-018-RI-99982", "00200-200-RI-99800", "5/30/09", "1220.00", "CAD", "1220.00", "USD"
"142", "158", "00018-018-RI-99982", "00200-200-RI-99800", "7/14/09", "10370.00", "CAD", "10370.00", "USD"
"143", "159", "00018-018-RI-99982", "00200-200-RI-99800", "10/10/09", "1830.00", "CAD", "1830.00", "USD"
"144", "160", "00018-018-RI-99982", "00200-200-RI-99800", "12/8/09", "9882.00", "CAD", "9882.00", "USD"
"145", "161", "00018-018-RI-99982", "00200-200-RI-99800", "1/18/10", "3660.00", "CAD", "3660.00", "USD"
"146", "163", "00018-018-RI-99982", "00200-200-RI-99800", "2/1/10", "41284.80", "CAD", "41284.80", "USD"
"147", "165", "00018-018-RI-99982", "00200-200-RI-99800", "5/22/10", "1220.00", "CAD", "1220.00", "USD"
"148", "166", "00018-018-RI-99982", "00511-511-QJ-99489", "2/8/08", "26596.00", "CAD", "26596.00", "USD"
"149", "167", "00019-019-SH-99981", "00200-200-RI-99800", "9/17/10", "10489.30", "CAD", "10489.30", "USD"
"150", "168", "00020-020-TG-99980", "00200-200-RI-99800", "9/29/09", "50669.89", "CAD", "50669.89", "USD"
"151", "169", "00021-021-UF-99979", "00200-200-RI-99800", "11/20/09", "338462.40", "CAD", "338462.40", "USD"
"152", "170", "00021-021-UF-99979", "00200-200-RI-99800", "11/24/09", "59135.06", "CAD", "59135.06", "USD"
"153", "172", "00021-021-UF-99979", "00200-200-RI-99800", "4/16/10", "774.02", "CAD", "774.02", "USD"
"154", "174", "00021-021-UF-99979", "00200-200-RI-99800", "5/29/10", "774.02", "CAD", "774.02", "USD"
"155", "176", "00021-021-UF-99979", "00200-200-RI-99800", "7/19/10", "1122.40", "CAD", "1122.40", "USD"
"156", "177", "00021-021-UF-99979", "00511-511-QJ-99489", "6/21/08", "1582.58", "CAD", "1582.58", "USD"
"157", "178", "00022-022-VE-99978", "00511-511-QJ-99489", "1/14/08", "5677.88", "CAD", "5677.88", "USD"
"158", "179", "00022-022-VE-99978", "00511-511-QJ-99489", "1/22/08", "719.80", "CAD", "719.80", "USD"
"159", "180", "00022-022-VE-99978", "00511-511-QJ-99489", "1/25/08", "7505.44", "CAD", "7505.44", "USD"
"160", "181", "00023-023-WD-99977", "00327-327-OL-99673", "9/2/12", "45732.42", "CAD", "45732.42", "USD"
"161", "183", "00024-024-XC-99976", "00200-200-RI-99800", "7/5/10", "4050.38", "CAD", "4050.38", "USD"
"162", "184", "00025-025-YB-99975", "00511-511-QJ-99489", "4/8/08", "732.00", "CAD", "732.00", "USD"
"163", "186", "00026-026-ZA-99974", "00200-200-RI-99800", "5/7/10", "4880.00", "CAD", "4880.00", "USD"
"164", "188", "00026-026-ZA-99974", "00200-200-RI-99800", "6/21/10", "3660.00", "CAD", "3660.00", "USD"
"165", "190", "00027-027-AZ-99973", "00200-200-RI-99800", "6/15/10", "1769001.56", "CAD", "1769001.56", "USD"
"166", "192", "00027-027-AZ-99973", "00200-200-RI-99800", "6/18/10", "250000.00", "CAD", "250000.00", "USD"
"167", "193", "00027-027-AZ-99973", "00200-200-RI-99800", "5/31/11", "1015163.53", "CAD", "1015163.53", "USD"
"168", "194", "00027-027-AZ-99973", "00200-200-RI-99800", "6/14/11", "41521.48", "CAD", "41521.48", "USD"
"169", "195", "00028-028-BY-99972", "00200-200-RI-99800", "10/14/08", "52879.68", "CAD", "52879.68", "USD"
"170", "196", "00028-028-BY-99972", "00200-200-RI-99800", "1/11/09", "1708.00", "CAD", "1708.00", "USD"
"171", "197", "00028-028-BY-99972", "00200-200-RI-99800", "7/20/09", "102177.34", "CAD", "102177.34", "USD"
"172", "198", "00028-028-BY-99972", "00200-200-RI-99800", "8/24/09", "124674.51", "CAD", "124674.51", "USD"
"173", "199", "00028-028-BY-99972", "00200-200-RI-99800", "10/3/09", "1560.38", "CAD", "1560.38", "USD"
"174", "200", "00028-028-BY-99972", "00200-200-RI-99800", "1/23/10", "22755.89", "CAD", "22755.89", "USD"
"175", "202", "00028-028-BY-99972", "00200-200-RI-99800", "3/20/10", "42456.00", "CAD", "42456.00", "USD"
"176", "204", "00028-028-BY-99972", "00200-200-RI-99800", "8/24/10", "15624.10", "CAD", "15624.10", "USD"
"177", "205", "00029-029-CX-99971", "00200-200-RI-99800", "1/8/10", "318864.10", "CAD", "318864.10", "USD"
"178", "206", "00030-030-DW-99970", "00200-200-RI-99800", "2/9/09", "7603.23", "CAD", "7603.23", "USD"
"179", "207", "00031-031-EV-99969", "00200-200-RI-99800", "2/9/09", "219939.16", "CAD", "219939.16", "USD"
"180", "208", "00031-031-EV-99969", "00200-200-RI-99800", "2/15/09", "397375.96", "CAD", "397375.96", "USD"
"181", "209", "00032-032-FU-99968", "00327-327-OL-99673", "9/19/11", "12368.51", "CAD", "12368.51", "USD"
"182", "210", "00033-033-GT-99967", "00200-200-RI-99800", "2/2/09", "7320.00", "CAD", "7320.00", "USD"
"183", "211", "00034-034-HS-99966", "00200-200-RI-99800", "1/9/10", "6100.00", "CAD", "6100.00", "USD"
"184", "213", "00034-034-HS-99966", "00200-200-RI-99800", "3/28/10", "48800.00", "CAD", "48800.00", "USD"
"185", "216", "00034-034-HS-99966", "00200-200-RI-99800", "6/21/10", "976.00", "CAD", "976.00", "USD"
"186", "217", "00034-034-HS-99966", "00200-200-RI-99800", "6/21/10", "976.00", "CAD", "976.00", "USD"
"187", "219", "00034-034-HS-99966", "00200-200-RI-99800", "6/22/10", "3904.00", "CAD", "3904.00", "USD"
"188", "220", "00035-035-IR-99965", "00511-511-QJ-99489", "6/8/08", "2046.00", "CAD", "2046.00", "USD"
"189", "221", "00036-036-JQ-99964", "00200-200-RI-99800", "1/12/09", "43920.00", "CAD", "43920.00", "USD"
"190", "222", "00036-036-JQ-99964", "00200-200-RI-99800", "1/2/10", "54500.00", "CAD", "54500.00", "USD"
"191", "223", "00036-036-JQ-99964", "00511-511-QJ-99489", "6/24/08", "473360.00", "CAD", "473360.00", "USD"
"192", "224", "00037-037-KP-99963", "00200-200-RI-99800", "11/27/09", "2501.03", "CAD", "2501.03", "USD"
"193", "226", "00037-037-KP-99963", "00200-200-RI-99800", "2/1/10", "5003.78", "CAD", "5003.78", "USD"
"194", "227", "00037-037-KP-99963", "00200-200-RI-99800", "10/15/10", "14553.70", "CAD", "14553.70", "USD"
"195", "228", "00037-037-KP-99963", "00511-511-QJ-99489", "6/8/08", "8011.89", "CAD", "8011.89", "USD"
"196", "229", "00038-038-LO-99962", "00200-200-RI-99800", "1/8/10", "212680.00", "CAD", "212680.00", "USD"
"197", "230", "00039-039-MN-99961", "00532-532-LO-99468", "11/25/12", "17220.00", "CAD", "17220.00", "USD"
"198", "232", "00039-039-MN-99961", "00200-200-RI-99800", "3/6/10", "57340.00", "CAD", "57340.00", "USD"
"199", "234", "00039-039-MN-99961", "00200-200-RI-99800", "6/1/10", "28060.00", "CAD", "28060.00", "USD"
"200", "235", "00039-039-MN-99961", "00200-200-RI-99800", "8/30/10", "28060.00", "CAD", "28060.00", "USD"
"201", "237", "00040-040-NM-99960", "00200-200-RI-99800", "3/1/10", "5255.81", "CAD", "5255.81", "USD"
"202", "238", "00041-041-OL-99959", "00200-200-RI-99800", "4/28/09", "70823.44", "CAD", "70823.44", "USD"
"203", "239", "00041-041-OL-99959", "00200-200-RI-99800", "11/22/09", "150221.64", "CAD", "150221.64", "USD"
"204", "241", "00041-041-OL-99959", "00200-200-RI-99800", "5/11/10", "175903.21", "CAD", "175903.21", "USD"
"205", "242", "00042-042-PK-99958", "00200-200-RI-99800", "11/18/08", "9434.09", "CAD", "9434.09", "USD"
"206", "243", "00043-043-QJ-99957", "00200-200-RI-99800", "7/25/09", "38840.00", "CAD", "38840.00", "USD"
"207", "244", "00044-044-RI-99956", "00200-200-RI-99800", "11/27/09", "5087.33", "CAD", "5087.33", "USD"
"208", "245", "00045-045-SH-99955", "00200-200-RI-99800", "8/31/08", "1695.80", "CAD", "1695.80", "USD"
"209", "246", "00046-046-TG-99954", "00200-200-RI-99800", "11/23/08", "1755310.50", "CAD", "1755310.50", "USD"
"210", "247", "00047-047-UF-99953", "00327-327-OL-99673", "2/25/12", "19.90", "CAD", "19.90", "USD"
"211", "248", "00048-048-VE-99952", "00200-200-RI-99800", "8/11/08", "1154.12", "CAD", "1154.12", "USD"
"212", "249", "00049-049-WD-99951", "00511-511-QJ-99489", "5/18/08", "75289.90", "CAD", "75289.90", "USD"
"213", "250", "00050-050-XC-99950", "00200-200-RI-99800", "1/4/09", "51362.00", "CAD", "51362.00", "USD"
"214", "251", "00051-051-YB-99949", "00200-200-RI-99800", "11/24/09", "1048.37", "CAD", "1048.37", "USD"
"215", "252", "00052-052-ZA-99948", "00327-327-OL-99673", "11/6/11", "39.90", "CAD", "39.90", "USD"
"216", "253", "00052-052-ZA-99948", "00200-200-RI-99800", "9/21/09", "23912.00", "CAD", "23912.00", "USD"
"217", "254", "00052-052-ZA-99948", "00200-200-RI-99800", "9/26/09", "56364.00", "CAD", "56364.00", "USD"
"218", "255", "00052-052-ZA-99948", "00200-200-RI-99800", "10/5/09", "6832.00", "CAD", "6832.00", "USD"
"219", "256", "00052-052-ZA-99948", "00200-200-RI-99800", "10/9/09", "27328.00", "CAD", "27328.00", "USD"
"220", "257", "00052-052-ZA-99948", "00200-200-RI-99800", "11/21/09", "24400.00", "CAD", "24400.00", "USD"
"221", "258", "00052-052-ZA-99948", "00200-200-RI-99800", "1/2/10", "5124.00", "CAD", "5124.00", "USD"
"222", "260", "00052-052-ZA-99948", "00200-200-RI-99800", "5/7/10", "22400.00", "CAD", "22400.00", "USD"
"223", "262", "00052-052-ZA-99948", "00200-200-RI-99800", "5/10/10", "1098.00", "CAD", "1098.00", "USD"
"224", "264", "00052-052-ZA-99948", "00200-200-RI-99800", "6/14/10", "12200.00", "CAD", "12200.00", "USD"
"225", "265", "00052-052-ZA-99948", "00200-200-RI-99800", "9/3/10", "6100.00", "CAD", "6100.00", "USD"
"226", "267", "00053-053-AZ-99947", "00200-200-RI-99800", "2/7/10", "59414.00", "CAD", "59414.00", "USD"
"227", "269", "00053-053-AZ-99947", "00200-200-RI-99800", "4/24/10", "2196.00", "CAD", "2196.00", "USD"
"228", "271", "00053-053-AZ-99947", "00200-200-RI-99800", "4/25/10", "4392.00", "CAD", "4392.00", "USD"
"229", "273", "00053-053-AZ-99947", "00200-200-RI-99800", "7/17/10", "6100.00", "CAD", "6100.00", "USD"
"230", "274", "00050-050-XC-99950", "00200-200-RI-99800", "2/3/09", "4392.00", "CAD", "4392.00", "USD"
"231", "275", "00050-050-XC-99950", "00200-200-RI-99800", "2/7/09", "23790.00", "CAD", "23790.00", "USD"
"232", "276", "00050-050-XC-99950", "00200-200-RI-99800", "2/24/09", "61000.00", "CAD", "61000.00", "USD"
"233", "277", "00050-050-XC-99950", "00200-200-RI-99800", "8/7/09", "4392.00", "CAD", "4392.00", "USD"
